First_Name Middle_Name,Family_Name,Category,Primary Affiliation,Secondary Affiliations,Researcher ID URL,RID
Raphael,Mechoulam,Pharmacology & Toxicology,"The Hebrew University of Jerusalem, Israel",,,
Rasmus,Nielsen,Molecular Biology & Genetics,"University of California, Berkeley, USA","University of Copenhagen, Denmark",,
Rattan,Lal,Agricultural Sciences,"The Ohio State University - Columbus, USA",,,
Ravi P,Agarwal,Mathematics,"Texas A&M University-Kingsville, USA","King Abdulaziz University, Saudi Arabia",,
Raymond C,Stevens,Biology & Biochemistry,"University of Southern California, USA",,,
Raymond J,Carroll,Mathematics,"Texas A&M University, United States","University of Technology Sydney (UTS), Australia",http://www.researcherid.com/rid/H-3161-2013,H-3161-2013
Raymond J,Dolan,Neuroscience & Behavior,"University College London, UK",,,
Reinhard,Genzel,Space Science,"Max Planck Inst Extraterr Phys, Germany","University of California, Berkeley, USA",,
Reinhold,Carle,Agricultural Sciences,"University of Hohenheim, Germany","King Abdulaziz University, Saudi Arabia",,
Reisa A,Sperling,Neuroscience & Behavior,"Harvard University, USA","Brigham and Women's Hospital, USA; Massachusetts General Hospital, USA",,
Remus,Teodorescu,Engineering,"Aalborg University (80%), Denmark","Chalmers University of Technology (20%), Sweden",,
Remy J,Petit,Environment/Ecology,"INRA, France","University of Bordeaux, France",,
Rene,Hen,Neuroscience & Behavior,"Columbia University, USA",,,
Rene A J,Janssen,Materials Science,"Eindhoven University of Technology, Netherlands",,,
Rene M,Stulz,Economics & Business,"The Ohio State University - Columbus, USA",,,
Renu,Virmani,Clinical Medicine,"CVPath Inst, USA",,,
Reto,Knutti,Geosciences,"Swiss Federal Institute of Technology Zurich, Switzerland",,,
Rhian,Gwilliam,Molecular Biology & Genetics,"KBioscience Unit 7, UK",,,
Rhys E,Green,Environment/Ecology,"Royal Soc Protect Birds, UK","University of Cambridge, UK",,
Riccardo,Valentini,Environment/Ecology,"Tuscia University, Italy","CMCC Ctr Euromediterraneo & Cambiamenti Climat, Italy",,
Richard,Durbin,Biology & Biochemistry,"Wellcome Trust Sanger Inst, UK",,,
Richard,Peto,Clinical Medicine,"University of Oxford, UK",,,
Richard A,Dixon,Plant & Animal Science,"University of North Texas - Denton, USA",,,
Richard A,Feely,Geosciences,"NOAA, USA",,,
Richard A,Flavell,Immunology,"Yale University, USA",,,
Richard A,Gibbs,Molecular Biology & Genetics,"Baylor College of Medicine, USA",,,
Richard A,Houghton,Environment/Ecology,"Woods Hole Res Ctr, USA",,,
Richard A,Larson,Clinical Medicine,"University of Chicago, USA",,,
Richard A,Young,Molecular Biology & Genetics,"Massachusetts Institute of Technology (MIT), USA","Whitehead Inst Biomed Res, USA",,
Richard B,Kaner,Chemistry,"University of California, Los Angeles, USA",,,
Richard C,Becker,Clinical Medicine,"University of Cincinnati, USA",,,
Richard D,Bardgett,Environment/Ecology,"The University of Manchester, UK",,,
Richard D,Piner,Chemistry,"The University of Texas at Austin, USA",,,
Richard D,Vierstra,Plant & Animal Science,"University of Wisconsin - Madison, USA",,,
Richard E,Smalley,Chemistry,"Rice University, USA",,,
Richard G,Baraniuk,Engineering,"Rice University, USA",,,
Richard G,Compton,Chemistry,"University of Oxford, UK",,,
Richard G,Compton,Engineering,"University of Oxford, UK",,,
Richard G,Kron,Space Science,"Fermilab Natl Accelerator Lab, USA","University of Chicago, USA",,
Richard G,Pearson,Environment/Ecology,"University College London, UK",,,
Richard G,Roberts,"Social Sciences, general","University of Wollongong, Australia",,,
Richard H,Friend,Materials Science,"University of Cambridge, UK",,,
Richard I,Masel,Engineering,"University of Illinois at Urbana-Champaign, USA",,,
Richard J,Hobbs,Environment/Ecology,"The University of Western Australia, Australia",,,
Richard J,Youle,Molecular Biology & Genetics,"NIH, USA",,,
Richard K,Wilson,Clinical Medicine,"Washington University in St. Louis, USA",,,
Richard K,Wilson,Molecular Biology & Genetics,"Washington University in St. Louis, USA",,,
Richard L,Kravitz,"Social Sciences, general","University of California, Davis, USA",,,
Richard L,Page,Clinical Medicine,"University of Wisconsin - Madison, USA",,,
Richard M,Amasino,Plant & Animal Science,"University of Wisconsin - Madison, USA",,,
Richard M,Durbin,Computer Science,"Wellcome Trust Sanger Inst, UK",,,
Richard M,Durbin,Molecular Biology & Genetics,"Wellcome Trust Sanger Inst, UK",,,
Richard M,Locksley,Immunology,"University of California, San Francisco, USA",,,
Richard M,Murray,Engineering,"California Institute of Technology, USA",,,
Richard M,Simon,Computer Science,"NCI, USA",,,
Richard M,Stone,Clinical Medicine,"Dana Farber Canc Inst, USA",,,
Richard N,Bergman,Molecular Biology & Genetics,"Cedars Sinai Med Ctr, USA",,,
Richard P,Bagozzi,Economics & Business,"University of Michigan - Ann Arbor, USA",,,
Richard P,Van Duyne,Chemistry,"Northwestern University, USA",,,
Richard R,Copley,Biology & Biochemistry,"University of Oxford, UK",,,
Richard S,Ellis,Space Science,"California Institute of Technology, USA",,,
Richard S E,Keefe,Psychiatry/Psychology,"Duke University, USA",,,
Richard T,Wyatt,Microbiology,"Scripps Res Inst, USA",,,
Richard W,Reynolds,Geosciences,"NOAA, USA",,,
Richard W,Ziolkowski,Engineering,"University of Arizona, USA","King Abdulaziz University, Saudi Arabia",,
Richie,Poulton,Psychiatry/Psychology,"University of Otago - Dunedin, New Zealand",,http://www.researcherid.com/rid/H-2795-2014,H-2795-2014
Ricky W,Johnstone,Pharmacology & Toxicology,"Peter MacCallum Canc Ctr, Australia","University of Melbourne, Australia",,
Rinaldo,Bellomo,Clinical Medicine,"Monash University, Australia","University of Melbourne, Australia",,
Rishikesh P,Bhalerao,Plant & Animal Science,"King Saud University, Saudi Arabia",,,
Rob,Knight,Microbiology,"University of Colorado at Boulder, USA",,,
Rob,Leurs,Pharmacology & Toxicology,"VU University Amsterdam, Netherlands",,,
Robert,Freedman,Psychiatry/Psychology,"University of Colorado at Denver, USA",,,
Robert,Gurny,Pharmacology & Toxicology,"University of Lausanne, Switzerland",,,
Robert,Jin,Psychiatry/Psychology,"Harvard University, USA",,,
Robert,Langer,Pharmacology & Toxicology,"Massachusetts Institute of Technology (MIT), USA",,,
Robert,Tibshirani,Mathematics,"Stanford University, USA",,,
Robert,Tycko,Biology & Biochemistry,"NIDDKD, USA",,,
Robert A,Harrington,Clinical Medicine,"Stanford University, USA",,,
Robert A,Kastelein,Immunology,"Merck Res Labs, USA",,,
Robert A,Kyle,Clinical Medicine,"Mayo Medical School, USA",,,
Robert A,Smith,Clinical Medicine,"Amer Canc Soc, USA",,,
Robert A,Toth,Engineering,"California Institute of Technology, USA",,,
Robert A,Weinberg,Molecular Biology & Genetics,"Massachusetts Institute of Technology (MIT), USA","Whitehead Inst Biomed Res, USA",,
Robert B,Jackson,Environment/Ecology,"Duke University, USA",,,
Robert B M,Landewe,Clinical Medicine,"University of Amsterdam, Netherlands","Atrium Med Ctr, Netherlands",,
Robert C,Haddon,Chemistry,"University of California, Riverside / King Abdulaziz University, United States","King Abdul Aziz University, Saudi Arabia",http://www.researcherid.com/rid/A-2528-2008,A-2528-2008
Robert C,Malenka,Neuroscience & Behavior,"Stanford University, USA",,,
Robert C,Myers,Physics,"Perimeter Inst Theoret Phys, Canada",,,
Robert C,Nichol,Space Science,"University of Portsmouth, UK",,,
Robert C,Pianta,"Social Sciences, general","University of Virginia, USA",,,
Robert D,Finn,Biology & Biochemistry,"HHMI Janelia Farm Res Campus, USA","Wellcome Trust Sanger Inst, UK",,
Robert F,Lusch,Economics & Business,"University of Arizona, USA",,,
Robert G,Bergman,Chemistry,"University of California, Berkeley, USA",,,
Robert G,Webster,Microbiology,"St. Jude Children's Research Hospital, USA","King Abdulaziz University, Saudi Arabia",,
Robert H,Crabtree,Chemistry,"Yale University, USA",,,
Robert H,Fagard,Clinical Medicine,"KU Leuven, Belgium",,,
Robert H,Grubbs,Chemistry,"California Institute of Technology, USA",,,
Robert H,Lupton,Space Science,"Princeton University, USA",,,
Robert H,Waterston,Molecular Biology & Genetics,"University of Washington, USA",,,
Robert J,Cava,Physics,"Princeton University, USA",,,
Robert J,Clarke,Clinical Medicine,"University of Oxford, UK",,,
Robert J,Dodson,Microbiology,"Northwestern University, USA",,,
Robert J,Lefkowitz,Pharmacology & Toxicology,"Duke University, USA",,,
Robert J,Letcher,Environment/Ecology,"Carleton University, Canada",,,
Robert J,Sampson,"Social Sciences, general","Harvard University, USA",,,
Robert J,Schoelkopf,Physics,"Yale University, USA",,,
Robert M,Califf,Clinical Medicine,"Duke Translat Med Inst, USA",,,
Robert M,Kuhn,Biology & Biochemistry,"University of California, Santa Cruz, USA",,,
Robert O,Bonow,Clinical Medicine,"Northwestern University, USA",,,
Robert R,Gamache,Engineering,"University of Massachusetts Amherst, USA",,,
Robert S,Langer,Chemistry,"Massachusetts Institute of Technology (MIT), USA",,,
Robert S,Langer,Materials Science,"Massachusetts Institute of Technology (MIT), USA",,,
Robert S,Plumb,Engineering,"Imperial College London, UK",,,
Robert T,Deboy,Microbiology,"J Craig Venter Inst, USA",,,
Robert W,Buchanan,Psychiatry/Psychology,"University of Maryland, Baltimore, USA",,,
Robert W,Heath,Computer Science,"The University of Texas at Austin, USA",,,
Robert W,Heath,Engineering,"The University of Texas at Austin, USA",,,
Robert W,Vishny,Economics & Business,"University of Chicago, USA",,,
Roberto,Malinow,Neuroscience & Behavior,"University of California, San Diego, USA",,,
Roberto,Solano,Plant & Animal Science,"Ctr Nacl Biotecnol Consejo Super Invest Cient, Spain",,,
Robin,Humphry-Baker,Chemistry,"Ecole Polytechnique Federale de Lausanne, Switzerland",,,
Robin,Osborn,"Social Sciences, general","Commonwealth Fund, USA",,,
Robin D,Rogers,Chemistry,"The University of Alabama, United States",,http://www.researcherid.com/rid/C-8265-2013,C-8265-2013
Robin J,Law,Environment/Ecology,"CEFAS Lowestoft Lab, UK",,,
Robin M,Murray,Psychiatry/Psychology,"King's College London, UK",,,
Robyn J,Barst,Clinical Medicine,"Columbia University, USA",,,
Rod A,Wing,Plant & Animal Science,"University of Arizona, USA",,,
Roded,Sharan,Computer Science,"Tel Aviv University, Israel",,,
Roderic,Guigo,Molecular Biology & Genetics,"Ctr Genom Regulat CRG, Spain","University of Pompeu Fabra, Spain",,
Roderick,MacKinnon,Biology & Biochemistry,"Rockefeller University, USA",,,
Rodney J,Weber,Geosciences,"Georgia Institute of Technology, USA",,,
Rodney S,Ruoff,Chemistry,"Ulsan National Institute of Science and Technology, South Korea","Institute for Basic Science, South Korea",,
Rodney S,Ruoff,Materials Science,"Ulsan National Institute of Science and Technology, South Korea","Institute for Basic Science, South Korea",,
Rodolphe,Barrangou,Microbiology,"North Carolina State University, United States","Pennsylvania State Univeristy, United States",http://www.researcherid.com/rid/I-2878-2014,I-2878-2014
Rodrigo,Lopez,Biology & Biochemistry,"EMBL, UK",,,
Roger A,Nicoll,Neuroscience & Behavior,"University of California, San Francisco, USA",,,
Roger G,Pertwee,Pharmacology & Toxicology,"University of Aberdeen, UK",,,
Roger S,McIntyre,Psychiatry/Psychology,"University of Toronto, Canada",,,
Roger Y,Tsien,Biology & Biochemistry,"University of California, San Diego, USA","Howard Hughes Med Inst, USA",,
Rokus Awe,Due,"Social Sciences, general","University of Wollongong (UOW), Australia","Indonesian Ctr Archaeol, Indonesia",,
Roland,Sturm,"Social Sciences, general","RAND Corp, USA",,,
Rolf,Apweiler,Biology & Biochemistry,"EBI, UK","EMBL, UK",,
Ron,De Graaf,Psychiatry/Psychology,"Netherlands Inst Mental Hlth & Addict, Netherlands",,,
Ron,Edgar,Biology & Biochemistry,"LifeMap Sci LTD, Israel",,,
Ron,Mittler,Plant & Animal Science,"University of North Texas - Denton, USA",,,
Ron A,Boschma,"Social Sciences, general","Lund University, Sweden","Utrecht University, Netherlands",,
Ron Am,Fouchier,Microbiology,"Erasmus Med Ctr, Netherlands",,,
Ronald,Fedkiw,Computer Science,"Stanford University, USA",,,
Ronald,Rousseau,"Social Sciences, general","KU Leuven, Belgium","University of Antwerp, Belgium",,
Ronald A,Devore,Mathematics,"Texas A&M University - College Station, USA",,,
Ronald C,Kessler,Psychiatry/Psychology,"Harvard University, USA",,,
Ronald C,Petersen,Neuroscience & Behavior,"Mayo Medical School, USA",,,
Ronald E,Wrolstad,Agricultural Sciences,"Oregon State University, USA",,,
Ronald J,Stouffer,Geosciences,"NOAA, USA",,,
Ronald L,Prior,Agricultural Sciences,"USDA, USA",,,
Ronald M,Epstein,"Social Sciences, general","University of Rochester, USA",,,
Ronald R,Breaker,Biology & Biochemistry,"Yale University, USA",,,
Ronald S,Duman,Neuroscience & Behavior,"Yale University, USA",,,
Rong,Tsao,Agricultural Sciences,"Agriculture & Agri-Food Canada, Canada",,http://www.researcherid.com/rid/I-3096-2014,I-3096-2014
Rongchao,Jin,Chemistry,"Carnegie Mellon University, USA",,,
Ronggen,Cai,Physics,"Chinese Academy of Sciences, China",,,
Rory,Collins,Clinical Medicine,"University of Oxford, UK",,,
Rosa,Rademakers,Neuroscience & Behavior,"Mayo Medical School, USA",,,
Rosana,Rodriguez-Lopez,Mathematics,"Universidad de Santiago de Compostela, USC, Spain",,http://www.researcherid.com/rid/A-5288-2013,A-5288-2013
Ross,Levine,Economics & Business,"University of California, Berkeley, USA",,,
Ross C,Brownson,"Social Sciences, general","Washington University in St. Louis, USA",,,
Ross L,Levine,Biology & Biochemistry,"Mem Sloan Kettering Canc Ctr, USA",,,
Rowan T,Chlebowski,Clinical Medicine,"Harbor UCLA Med Ctr, USA",,,
Roxana,Mehran,Clinical Medicine,"Mt Sinai Med Ctr, USA",,,
Roy,Suddaby,Economics & Business,"University of Alberta, Canada",,,
Roy F,Baumeister,Psychiatry/Psychology,"Florida State University, USA","King Abdulaziz University, Saudi Arabia",,
Roy S,Herbst,Clinical Medicine,"Yale Canc Ctr, USA",,,
Roya,Bahreini,Geosciences,"University of California, Riverside, USA",,,
Royston,Greenwood,Economics & Business,"University of Alberta, Canada",,,
Roza I,Nurieva,Immunology,"The University of Texas M. D. Anderson Cancer Center, USA",,,
Rudolf,Amann,Microbiology,"Max Planck Inst Marine Microbiol, Germany",,,
Rudolf,Grimm,Physics,"Universität Innsbruck, Austria","Austrian Academy of Sciences, Austria",http://www.researcherid.com/rid/D-2864-2009,D-2864-2009
Rudolf,Jaenisch,Clinical Medicine,"Massachusetts Institute of Technology (MIT), USA","Whitehead Inst Biomed Res, USA",,
Rudolf,Jaenisch,Molecular Biology & Genetics,"Massachusetts Institute of Technology (MIT), USA","Whitehead Inst Biomed Res, USA",,
Rudolf,Neu,Engineering,"MPI fur Plasmaphysik, Germany","Technische Universität München, TUM, Germany",http://www.researcherid.com/rid/B-4438-2010,B-4438-2010
Rudolph E,Tanzi,Neuroscience & Behavior,"Harvard University, USA",,,
Ruedi,Aebersold,Biology & Biochemistry,"Swiss Federal Institute of Technology Zurich, Switzerland","University of Zurich, Switzerland",,
Rui Hai,Liu,Agricultural Sciences,"Cornell University, USA",,,
Ruiqin,Zhong,Plant & Animal Science,"The University of Georgia, USA",,,
Rune,Blomhoff,Agricultural Sciences,"University of Oslo, Norway",,,
Runze,Li,Mathematics,"The Pennsylvania State University, United States","The Pennsylvania State University, United States",http://www.researcherid.com/rid/C-5444-2013,C-5444-2013
Rury R,Holman,Clinical Medicine,"University of Oxford, UK",,,
Ruslan,Medzhitov,Immunology,"Yale University, USA",,,
Russel J,Reiter,Biology & Biochemistry,"The University of Texas Health Science Center at San Antonio, USA",,,
Russell E,Glasgow,"Social Sciences, general","NCI, USA",,,
Russell K,Monson,Agricultural Sciences,"University of Colorado at Boulder, USA",,,
Ruth,Duncan,Pharmacology & Toxicology,"University College London, UK","Ctr Invest Principe Felipe, Spain; University of Greenwich, UK",,
Ruth J F,Loos,Molecular Biology & Genetics,"Icahn School of Medicine at Mount Sinai, USA","MRC Epidemiology Unit, University of Cambridge, UK",,
Ruth S,Defries,Environment/Ecology,"Columbia University, USA",,,
Ruth V,Aguilera,Economics & Business,"University of Illinois at Urbana-Champaign, USA",,,
Ryan,Lafond,Economics & Business,"BlackRock, USA",,,
S Patricia,Chou,Psychiatry/Psychology,"NIAAA, USA",,,
S Vincent,Rajkumar,Clinical Medicine,"Mayo Medical School, USA",,,
Saber M,Hussain,Pharmacology & Toxicology,"Mol Bioeffects Branch, USA","Wright State University, USA",,
Sabina A,Murphy,Clinical Medicine,"Brigham & Womens Hosp, USA",,,
Sabri,Arik,Engineering,"Isik University, Turkey",,,
Sadanori,Okamura,Space Science,"Hosei University, Japan",,,
Saeid,Abbasbandy,Mathematics,"Imam Khomeini Int. University, Iran","Islamic Azad University, Science and Research Branch, Iran",http://www.researcherid.com/rid/E-7246-2012,E-7246-2012
Salim,Ciraci,Physics,"Bilkent University, Turkey",,,
Salim,Yusuf,Clinical Medicine,"Hamilton Hlth Sci, Canada","McMaster University, Canada",,
Salim A,Messaoudi,Mathematics,"King Fahd University of Petroleum & Minerals, Saudi Arabia",,,
Sally,Macintyre,"Social Sciences, general","MRC Social & Publ Hlth Sci Unit, UK",,,
Salvador,Garcia,Computer Science,"University of Granada (Spain), Spain","King Abdulaziz University, Jeddah, Saudi Arabia KAU, Saudi Arabia",http://www.researcherid.com/rid/N-3624-2013,N-3624-2013
Salvatore,Siena,Clinical Medicine,"Osped Niguarda Ca Granda, Italy",,,
Sam,Griffiths-Jones,Biology & Biochemistry,"The University of Manchester, UK",,,
Samson A,Jenekhe,Materials Science,"University of Washington, USA",,,
Samuel I,Stupp,Chemistry,"Northwestern University, USA",,,
Samuel V,Angiuoli,Microbiology,Personal Genome Diagnostics,"University of Maryland, Baltimore, USA",,
Sandra,Diaz,Environment/Ecology,"National University of Cordoba, Argentina",,,
Sandra,Lavorel,Environment/Ecology,"CNRS, France",,,
Sandra E,Orchard,Biology & Biochemistry,"European Bioinformat Inst EMBL EBI, UK",,,
Sandrine,Dudoit,Mathematics,"University of California, Berkeley, USA",,,
Sandro,Fuzzi,Geosciences,"Consiglio Nazionale delle Ricerche (CNR), Italy",,http://www.researcherid.com/rid/F-2675-2010,F-2675-2010
Sandun,Fernando,Engineering,"Texas A&M University - College Station, USA",,,
Sang-Wook,Cheong,Physics,"Rutgers, The State University of New Jersey - New Brunswick, USA",,,
Sanjay K,Phogat,Microbiology,"Int AIDS Vaccine Initiat, USA",,,
Sankar,Das Sarma,Physics,"University of Maryland, College Park, USA",,,
Sara S,McLanahan,"Social Sciences, general","Princeton University, USA",,,
Sarah,Spiegel,Biology & Biochemistry,"Virginia Commonwealth University, USA","NIAID, USA",,
Sarah E,Hunt,Molecular Biology & Genetics,"Wellcome Trust Sanger Inst, UK",,,
Satoshi,Tabata,Plant & Animal Science,"Kazusa DNA Res Inst, Japan",,,
Simon A,Wilde,Geosciences,"Curtin University of Technology, Australia",,,
Simon D M,White,Space Science,"Max Planck Inst Astrophys, Germany",,,
Simon D W,Frost,Computer Science,"University of Cambridge, UK",,,
Simon G,Thompson,Clinical Medicine,"MRC, UK",,,
Simon L,Lewis,Environment/Ecology,"University College London, UK","University of Leeds, UK",,
Simon N,Stuart,Environment/Ecology,"Al Ain Wildlife Pk & Resort, United Arab Emirates","United Nations Environm Programme World Conservat, UK; University of Bath, UK",,
Sonbinh T,Nguyen,Chemistry,"Northwestern University, USA",,,
Song,Gao,Chemistry,"Peking University, China",,,
Songxiao,Li,Mathematics,"Jiaying university, China",,http://www.researcherid.com/rid/E-8998-2014,E-8998-2014
Sonia I,Seneviratne,Geosciences,"Swiss Federal Institute of Technology Zurich, Switzerland",,,
Sophien,Kamoun,Plant & Animal Science,"The Sainsbury Laboratory, UK",,,
Soren,Brunak,Biology & Biochemistry,"Technical University of Denmark, Denmark","University of Copenhagen, Denmark",,
Soren,Molin,Microbiology,"Technical University of Denmark, Denmark",,,
Soren G F,Rasmussen,Biology & Biochemistry,"University of Copenhagen, Denmark",,,
Spyros N,Pandis,Geosciences,"University of Patras, Greece","Carnegie Mellon University, USA",,
Sriram,Vishwanath,Computer Science,"The University of Texas at Austin, USA",,,
Stacey B,Gabriel,Clinical Medicine,"Broad Inst, USA",,,
Stacey B,Gabriel,Molecular Biology & Genetics,"Broad Inst, USA",,,
Stanislas,Dehaene,Psychiatry/Psychology,"CEA, France","Coll France, France; INSERM, France; University of Paris Sud (Paris 11), France",,
Stanley J,Osher,Computer Science,"University of California, Los Angeles, USA",,,
Stanley J,Osher,Mathematics,"University of California, Los Angeles, USA",,,
Stanley M,Lemon,Microbiology,"University of North Carolina at Chapel Hill, USA",,,
Stefan,Grimme,Chemistry,"University of Bonn, Germany",,,
Stefan,Kinne,Geosciences,"Max Planck Inst Meteorol, Germany",,,
Stefan,Klotz,Environment/Ecology,"UFZ Helmholtz Ctr Environm Res, Germany",,,
Stefan,Leucht,Psychiatry/Psychology,"Technical University Munich, Germany",,,
Stefan,Schouten,Geosciences,"NIOZ Royal Netherlands Inst Sea Res, Netherlands","Utrecht University, Netherlands",,
Stefan,Schreiber,Clinical Medicine,"University of Kiel, Germany",,,
Stefan,Schreiber,Molecular Biology & Genetics,"University of Kiel, Germany",,,
Stefan,Zeuzem,Clinical Medicine,"University of Frankfurt, Germany",,,
Stefan H,Hohnloser,Clinical Medicine,"University of Frankfurt, Germany",,,
Stefan K,James,Clinical Medicine,"Uppsala University, Sweden",,,
Stefanie,Dimmeler,Clinical Medicine,"University of Frankfurt, Germany",,,
Stefano,Volinia,Clinical Medicine,"The Ohio State University - Columbus, USA","University of Ferrara, Italy",,
Stefano,Volpato,"Social Sciences, general","University of Ferrara, UNIFE, Italy",,http://www.researcherid.com/rid/H-2977-2014,H-2977-2014
Sten,Orrenius,Pharmacology & Toxicology,"Karolinska Institute, Sweden",,,
Stephan,Achenbach,Clinical Medicine,"University of Giessen, Germany",,,
Stephan,Windecker,Clinical Medicine,"Bern Univ Hosp, Switzerland","University of Bern, Switzerland",,
Stephan S,Meyer,Space Science,"University of Chicago, USA",,,
Stephane,Rombauts,Plant & Animal Science,"VIB-UGent, Belgium",,http://www.researcherid.com/rid/D-7640-2014,D-7640-2014
Stephanie A,Snedden,Space Science,"Apache Point Observ, USA",,,
Stephanie A,Studenski,"Social Sciences, general","University of Pittsburgh, USA",,,
Stephen,Mann,Materials Science,"University of Bristol, UK",,,
Stephen,Polasky,Environment/Ecology,"University of Minnesota, Twin Cities, USA",,,
Stephen,Sitch,Environment/Ecology,"University of Exeter, UK",,,
Stephen,Trevanion,Biology & Biochemistry,"Wellcome Trust Sanger Inst, UK",,,
Stephen B,Hanauer,Clinical Medicine,"Northwestern University, USA",,,
Stephen B,Kritchevsky,"Social Sciences, general","Wake Forest University, USA",,,
Stephen C,Harrison,Microbiology,"Harvard University, USA","Childrens Hosp, USA",,
Stephen D,Bentley,Microbiology,"Wellcome Trust Sanger Inst, UK","University of Cambridge, UK",,
Stephen D,Wiviott,Clinical Medicine,"Brigham & Womens Hosp, USA",,,
Stephen F,Schaffner,Molecular Biology & Genetics,"Broad Inst MIT & Harvard, USA","Harvard University, USA",,
Stephen H,Bryant,Biology & Biochemistry,"Natl Lib Med, USA","NIH, USA",,
Stephen H,Schneider,Environment/Ecology,"Stanford University, USA",,,
Stephen J,Chanock,Molecular Biology & Genetics,"NCI, USA",,,
Stephen J,Elledge,Molecular Biology & Genetics,"Brigham & Womens Hosp, USA","Harvard University, USA",,
Stephen J,Redding,Economics & Business,"Princeton University, USA",,,
Stephen J,Wood,Psychiatry/Psychology,"University of Birmingham, UK",,,
Stephen L,Buchwald,Chemistry,"Massachusetts Institute of Technology (MIT), USA",,,
Stephen L,Vargo,Economics & Business,"University of Hawaii at Manoa, USA",,,
Stephen M,Kent,Space Science,"Fermilab Natl Accelerator Lab, USA","University of Chicago, USA",,
Stephen M,Smith,Neuroscience & Behavior,"University of Oxford, UK",,,
Stephen M J,Searle,Biology & Biochemistry,"Wellcome Trust Sanger Inst, UK",,,
Stephen M J,Searle,Molecular Biology & Genetics,"Wellcome Trust Sanger Inst, UK",,,
Stephen P,Boyd,Computer Science,"Stanford University, USA",,,
Stephen P,Boyd,Engineering,"Stanford University, USA",,,
Stephen P,Hubbell,Environment/Ecology,"University of California, Los Angeles, USA","The Smithsonian Tropical Research Institute (STRI), Panama",,
Stephen P,Jackson,Molecular Biology & Genetics,"University of Cambridge, UK","MISSION Therapeut Ltd, UK",,
Stephen P,Long,Plant & Animal Science,"University of Illinois at Urbana Champaign, USA",,,
Stephen R,Carpenter,Environment/Ecology,"University of Wisconsin - Madison, USA",,,
Stephen R,Daniels,Clinical Medicine,"Hlth Sci Ctr, USA","University of Colorado at Denver, USA",,
Stephen R,Forrest,Materials Science,"University of Michigan - Ann Arbor, USA",,,
Stephen R,Forrest,Physics,"University of Michigan - Ann Arbor, USA",,,
Stephen R,Lord,"Social Sciences, general","University of New South Wales, Australia",,,
Stephen R,Marder,Psychiatry/Psychology,"University of California, Los Angeles, USA","VISN 22 Mental Illness Res Educ & Clin Ctr, USA",,
Stephen R,Quake,Biology & Biochemistry,"Stanford University, USA","ASTAR, Singapore",,
Stephen R,Wisniewski,Psychiatry/Psychology,"University of Pittsburgh, USA",,,
Stephen T,Sherry,Biology & Biochemistry,"NIH, USA",,,
Stephen U S,Choi,Engineering,"University of Illinois at Urbana-Champaign, USA",,,
Stephen V,Faraone,Psychiatry/Psychology,"State University of New York Upstate Medical University, USA",,,
Stephen W,Scherer,Molecular Biology & Genetics,"The Hospital for Sick Children (SickKids); University of Toronto; McLaughlin Centre, Canada","Center of Excellence in Genomic Medicine Research (CEGMR), King Abdulaziz University, Jeddah, Saudi Arabia, Saudi Arabia",http://www.researcherid.com/rid/B-3785-2013,B-3785-2013
Steve A,Kay,Plant & Animal Science,"University of Southern California, United States",,http://www.researcherid.com/rid/F-6025-2011,F-6025-2011
Steven,Pawson,Geosciences,"NASA, USA",,,
Steven A,McCarroll,Molecular Biology & Genetics,"Broad Inst Harvard & MIT, USA","Harvard University, USA",,
Steven A,Rosenberg,Clinical Medicine,"NCI, USA",,,
Steven C,Wofsy,Agricultural Sciences,"Harvard University, USA",,,
Steven E,Nissen,Clinical Medicine,"Cleveland Clin, USA",,,
Steven E W,Jacobsen,Molecular Biology & Genetics,"University of California, Los Angeles, USA",,,
Steven G,Louie,Physics,"University of California, Berkeley, USA","The Hong Kong University of Science and Technology, Hong Kong, China",,
Steven J,Lehotay,Agricultural Sciences,"USDA, USA",,,
Steven J,Neill,Plant & Animal Science,"University of the West of England, UK",,,
Steven J,Phillips,Environment/Ecology,"AT&T Labs Res, USA",,,
Steven J M,Jones,Computer Science,"Genome Sci Ctr, Canada",,,
Steven L,Salzberg,Computer Science,"The Johns Hopkins University, USA",,,
Steven L,Salzberg,Microbiology,"The Johns Hopkins University, USA",,,
Steven M,Girvin,Physics,"Yale University, USA",,,
Steven M,Haffner,Clinical Medicine,"The University of Texas Health Science Center at San Antonio, USA",,,
Steven N,Blair,Clinical Medicine,"University of South Carolina - Columbia, USA",,,
Steven P,Gygi,Biology & Biochemistry,"Harvard University, USA",,,
Steven P,Gygi,Molecular Biology & Genetics,"Harvard University, USA",,,
Steven P,Nolan,Chemistry,"King Saud University, Saudi Arabia","University of St Andrews, Scotland",http://www.researcherid.com/rid/C-8465-2013,C-8465-2013
Steven R,Cummings,Clinical Medicine,"University of California, San Francisco, USA",,,
Steven R,Gill,Microbiology,"University of Rochester, USA","State University of New York at Buffalo, USA",,
Steven T,Dekosky,Neuroscience & Behavior,"University of Virginia, USA",,,
Steven W,Running,Geosciences,"The University of Montana - Missoula, USA",,,
Stevo,Stevic,Mathematics,"Mathematical Institute of the Serbian Academy of Sciences and Arts, Serbia","King Abdulaziz University, Jeddah, Saudi Arabia, Saudi Arabia",http://www.researcherid.com/rid/A-8046-2013,A-8046-2013
